PhraseId,SentenceId,Phrase,Sentiment,length,word_length,label
48029,2342,propriety-obsessed,2,1,18,train
87026,4511,well-put-together,3,1,17,train
33745,1586,wrapped,2,1,7,train
117673,6279,affect,2,1,6,train
24914,1135,lived,2,1,5,train
42199,2031,half-dimensional,2,1,16,train
817,30,vaudeville,2,1,10,train
12976,558,Leon,3,1,4,train
140993,7647,impressionable,2,1,14,train
119529,6390,entitled,2,1,8,train
48831,2384,Swims,2,1,5,train
115831,6171,possess,2,1,7,train
5573,221,transcends,3,1,10,train
48011,2342,Precocious,1,1,10,train
154095,8418,crudities,2,1,9,train
18020,785,static,1,1,6,train
35143,1651,admission,2,1,9,train
79439,4091,egocentricities,1,1,15,train
101810,5359,contain,2,1,7,train
3837,146,created,2,1,7,train
71105,3628,Thirteen,2,1,8,train
80110,4127,Burke,2,1,5,train
1680,62,reminders,2,1,9,train
132037,7116,self-hating,2,1,11,train
34100,1602,distracting,1,1,11,train
109379,5792,nature\/nurture,2,1,15,train
5261,208,nuances,3,1,7,train
101779,5357,cancer,1,1,6,train
14525,625,Krige,2,1,5,train
12849,552,meandering,1,1,10,train
75185,3856,outline,2,1,7,train
29911,1386,Aesop,2,1,5,train
81212,4185,specimen,2,1,8,train
53038,2630,darned,2,1,6,train
4613,175,chimps,2,1,6,train
59250,2989,bestowing,2,1,9,train
57059,2873,intoxication,2,1,12,train
41582,2001,dealer,2,1,6,train
4843,185,X,2,1,1,train
46080,2240,elevated,2,1,8,train
54970,2738,spindly,2,1,7,train
94233,4918,Playfully,3,1,9,train
3629,135,wounds,2,1,6,train
31226,1458,\*\*,2,1,4,train
69092,3508,peril,3,1,5,train
2134,81,usually,2,1,7,train
71456,3644,contempt,1,1,8,train
3201,120,consoled,2,1,8,train
33307,1560,titled,2,1,6,train
113254,6016,bankruptcy,1,1,10,train
86850,4499,famed,3,1,5,train
50183,2466,campy,2,1,5,train
76917,3954,staying,2,1,7,train
108924,5766,admirer,2,1,7,train
85589,4426,hook-ups,2,1,8,train
36714,1738,barbarism,1,1,9,train
7817,318,jumble,2,1,6,train
1894,70,skittish,2,1,8,train
13905,598,wanted,2,1,6,train
50256,2470,Citizen,2,1,7,train
35360,1662,piss,2,1,4,train
99393,5211,waltzed,2,1,7,train
23904,1085,digital,2,1,7,train
61939,3132,waster,2,1,6,train
15653,671,anti-erotic,2,1,11,train
54945,2737,perpetrating,2,1,12,train
83994,4339,overmanipulative,1,1,16,train
112637,5980,gallery,2,1,7,train
10724,455,Maelstrom,2,1,9,train
109574,5805,molehill,2,1,8,train
11421,489,eye,2,1,3,train
24953,1137,perceptions,2,1,11,train
7108,287,thinly-conceived,1,1,16,train
193,6,character,2,1,9,train
6371,253,threat,2,1,6,train
90631,4717,blarney,2,1,7,train
19694,868,enhances,2,1,8,train
24803,1131,Matthew,2,1,7,train
140528,7625,Playboy,2,1,7,train
66907,3395,moviemaker,2,1,10,train
110917,5877,distilled,2,1,9,train
143869,7807,Zishe,2,1,5,train
60568,3058,Sampi,2,1,5,train
24026,1090,twelve,2,1,6,train
139659,7576,flat-out,2,1,8,train
71094,3627,cumulative,2,1,10,train
